question,answer,level,tool_id,code,api_call,tool,tool_call
A recent study found that 60$\%$ of men and 80$\%$ of women surveyed support increased funding for particular medical research. The study surveyed 100 men and 900 women. What was the overall percent of the people surveyed who supported increased funding?,78\%,Level 2,1648,"def overall_percent(men_support, women_support, men_total, women_total):
    """"""
    Calculates the overall percentage of people who support increased funding for medical research.
    
    Args:
    men_support (float): The percentage of men who support increased funding.
    women_support (float): The percentage of women who support increased funding.
    men_total (int): The total number of men surveyed.
    women_total (int): The total number of women surveyed.
    
    Returns:
    float: The overall percentage of people who support increased funding.
    """"""
    men_support_count = men_support * men_total / 100
    women_support_count = women_support * women_total / 100

    total_support_count = men_support_count + women_support_count
    total_people = men_total + women_total

    overall_support_percent = (total_support_count / total_people) * 100

    return overall_support_percent","# Define the percentages of men and women who support increased funding, and the total number of men and women surveyed
# pass parameter to call the tool to solve the original problem
print(overall_percent(men_support=60, women_support=80, men_total=100, women_total=900))","def overall_percent(group1_percent, group2_percent, group1_total, group2_total):
    """"""
    Calculate the overall percentage of an attribute in a population based on the percentages in two subgroups.

    Parameters:
    group1_percent (float): The percentage of the attribute in the first subgroup.
    group2_percent (float): The percentage of the attribute in the second subgroup.
    group1_total (int): The total number of individuals in the first subgroup.
    group2_total (int): The total number of individuals in the second subgroup.

    Returns:
    float: The overall percentage of the attribute in the population.
    """"""
    group1_count = group1_percent * group1_total / 100
    group2_count = group2_percent * group2_total / 100

    total_count = group1_count + group2_count
    total_population = group1_total + group2_total

    overall_percent = (total_count / total_population) * 100

    return overall_percent","print(overall_percent(group1_percent=60, group2_percent=80, group1_total=100, group2_total=900))"
"Anton has two species of ants, Species A and Species B, in his ant farm. The two species are identical in appearance, but Anton knows that every day, there are twice as many ants of Species A than before, while there are three times as many ants of Species B. On Day 0, Anton counts that there are 30 ants in his ant farm. On Day 5, Anton counts that there are 3281 ants in his ant farm. How many of these are of Species A?",608,Level 5,1605,"from sympy import symbols, Eq, solve

def find_species_a(day_0_total, day_5_total, species_a_multiplier, species_b_multiplier):
    """"""
    Finds the number of ants of Species A in Anton's ant farm.
    
    Args:
    day_0_total (int): The total number of ants in the ant farm on Day 0.
    day_5_total (int): The total number of ants in the ant farm on Day 5.
    species_a_multiplier (int): The daily multiplier for the number of ants of Species A.
    species_b_multiplier (int): The daily multiplier for the number of ants of Species B.
    
    Returns:
    int: The number of ants of Species A in the ant farm on Day 5.
    """"""
    species_a_0, species_b_0 = symbols('species_a_0 species_b_0')

    # Define the equations for the total number of ants on Day 0 and Day 5
    day_0_equation = Eq(species_a_0 + species_b_0, day_0_total)
    day_5_equation = Eq(species_a_multiplier**5 * species_a_0 + species_b_multiplier**5 * species_b_0, day_5_total)

    # Solve the system of equations for the initial number of ants of each species
    solution = solve((day_0_equation, day_5_equation), (species_a_0, species_b_0))

    # Calculate the number of ants of Species A on Day 5
    species_a_5 = species_a_multiplier**5 * solution[species_a_0]

    return species_a_5","print(find_species_a(day_0_total=30, day_5_total=3281, species_a_multiplier=2, species_b_multiplier=3))","def find_species_population(initial_total, final_total, species1_multiplier, species2_multiplier, target_species_multiplier, days_passed):
    """"""
    Find the number of a specific species in a population given the total population at two different times and the daily multipliers for the growth of each species.

    Parameters:
    initial_total (int): The total population at the initial time.
    final_total (int): The total population at the final time.
    species1_multiplier (int): The daily multiplier for the growth of Species 1.
    species2_multiplier (int): The daily multiplier for the growth of Species 2.
    target_species_multiplier (int): The daily multiplier for the growth of the target species.
    days_passed (int): The number of days passed between the initial and final time.

    Returns:
    int: The number of the target species in the population at the final time.
    """"""
    species1_initial, species2_initial = symbols('species1_initial species2_initial')

    # Define the equations for the total population at the initial and final times
    initial_equation = Eq(species1_initial + species2_initial, initial_total)
    final_equation = Eq(species1_multiplier**days_passed * species1_initial + species2_multiplier**days_passed * species2_initial, final_total)

    # Solve the system of equations for the initial population of each species
    solution = solve((initial_equation, final_equation), (species1_initial, species2_initial))

    # Calculate the population of the target species at the final time
    target_species_final = target_species_multiplier**days_passed * solution[species1_initial if target_species_multiplier == species1_multiplier else species2_initial]

    return target_species_final","print(find_species_population(initial_total=30, final_total=3281, species1_multiplier=2, species2_multiplier=3, target_species_multiplier=2, days_passed=5))"
"A puppy and two cats together weigh 24 pounds. The puppy and the larger cat together weigh exactly twice as much as the smaller cat, and the puppy and the smaller cat together weigh exactly the same as the larger cat. How many pounds does the puppy weigh?",4,Level 3,453,"def find_puppy_weight(total_weight, puppy_larger_cat_ratio, puppy_smaller_cat_ratio):
    """"""
    Finds the weight of the puppy based on the given conditions.
    
    Args:
    total_weight (float): The total weight of the puppy and two cats.
    puppy_larger_cat_ratio (float): The ratio of the weight of the puppy and the larger cat to the weight of the smaller cat.
    puppy_smaller_cat_ratio (float): The ratio of the weight of the puppy and the smaller cat to the weight of the larger cat.
    
    Returns:
    float: The weight of the puppy.
    """"""
    # Define the symbols
    p, s, l = symbols('p s l')

    # Define the equations based on the conditions
    eq1 = Eq(p + s + l, total_weight)
    eq2 = Eq(p + l, puppy_larger_cat_ratio * s)
    eq3 = Eq(p + s, puppy_smaller_cat_ratio * l)

    # Solve the system of equations
    solution = solve((eq1, eq2, eq3), (p, s, l))

    return solution[p]","# Define the total weight, the ratio of the weight of the puppy and the larger cat to the weight of the smaller cat, and the ratio of the weight of the puppy and the smaller cat to the weight of the larger cat
# pass parameter to call the tool to solve the original problem
print(find_puppy_weight(total_weight=24, puppy_larger_cat_ratio=2, puppy_smaller_cat_ratio=1))","def find_entity1_weight(total_weight, entity1_entity2_ratio, entity1_entity3_ratio):
    """"""
    Find the weight of the first entity based on the total weight and the weight ratios of the entities.

    Parameters:
    total_weight (float): The total weight of the three entities.
    entity1_entity2_ratio (float): The ratio of the weight of the first entity and the second entity to the weight of the third entity.
    entity1_entity3_ratio (float): The ratio of the weight of the first entity and the third entity to the weight of the second entity.

    Returns:
    float: The weight of the first entity.
    """"""
    # Define the symbols
    e1, e2, e3 = symbols('e1 e2 e3')

    # Define the equations based on the conditions
    eq1 = Eq(e1 + e2 + e3, total_weight)
    eq2 = Eq(e1 + e2, entity1_entity2_ratio * e3)
    eq3 = Eq(e1 + e3, entity1_entity3_ratio * e2)

    # Solve the system of equations
    solution = solve((eq1, eq2, eq3), (e1, e2, e3))

    return solution[e1]","print(find_entity1_weight(total_weight=24, entity1_entity2_ratio=2, entity1_entity3_ratio=1))"
"The bacteria in a jar triple every 20 seconds. After three minutes, there are 275,562 bacteria in the jar. How many were in the jar at the beginning of the experiment?",14,Level 4,776,"def find_initial_bacteria(final_count, growth_rate, growth_period, total_time):
    """"""
    Finds the initial number of bacteria based on the final count, growth rate, growth period, and total time.
    
    Args:
    final_count (int): The final number of bacteria.
    growth_rate (int): The rate at which the bacteria multiply each growth period.
    growth_period (int): The time in seconds it takes for the bacteria to multiply.
    total_time (int): The total time in seconds that the bacteria were allowed to grow.
    
    Returns:
    int: The initial number of bacteria.
    """"""
    # Calculate the total number of growth periods
    total_periods = total_time / growth_period

    # Calculate the initial number of bacteria
    initial_count = final_count / (growth_rate ** total_periods)

    return int(initial_count)","# Define the final count, growth rate, growth period, and total time
# pass parameter to call the tool to solve the original problem
print(find_initial_bacteria(final_count=275562, growth_rate=3, growth_period=20, total_time=180))","def find_initial_quantity(final_quantity, growth_rate, growth_period, total_time):
    """"""
    Find the initial quantity of a population based on the final quantity, growth rate, growth period, and total time.

    Parameters:
    final_quantity (float): The final quantity of the population.
    growth_rate (float): The rate at which the population multiplies each growth period.
    growth_period (float): The time it takes for the population to multiply.
    total_time (float): The total time that the population was allowed to grow.

    Returns:
    float: The initial quantity of the population.
    """"""
    # Calculate the total number of growth periods
    total_periods = total_time / growth_period

    # Calculate the initial quantity
    initial_quantity = final_quantity / (growth_rate ** total_periods)

    return initial_quantity","print(find_initial_quantity(final_quantity=275562, growth_rate=3, growth_period=20, total_time=180))"
"An amoeba is placed in a puddle one day, and on that same day it splits into two amoebas.  The next day, each new amoeba splits into two new amoebas, and so on, so that each day every living amoeba splits into two new amoebas. After one week, how many amoebas are in the puddle? (Assume the puddle has no amoebas before the first one is placed in the puddle.)",128,Level 3,323,"def calculate_amoebas(days):
    """"""
    Calculates the number of amoebas in the puddle after a given number of days.
    
    Args:
    days (int): The number of days that have passed.
    
    Returns:
    int: The number of amoebas in the puddle.
    """"""
    # The number of amoebas doubles each day, so the total number of amoebas is 2^days
    return 2**days","# Define the number of days
days = 7

# Calculate the number of amoebas after the given number of days
print(calculate_amoebas(days))","def calculate_entities(time_periods):
    """"""
    Calculates the number of entities after a given number of time periods, given that each entity doubles every time period.

    Parameters:
    time_periods (int): The number of time periods that have passed.

    Returns:
    int: The number of entities after the given number of time periods.
    """"""
    # The number of entities doubles each time period, so the total number of entities is 2^time_periods
    return 2**time_periods","time_periods = 7
print(calculate_entities(time_periods))"
BoatsRUs built 7 canoes in January of this year and then each subsequent calendar month they built twice the number of canoes they had built the previous month. How many total canoes were built by BoatsRUs by the end of May of this year?,217,Level 3,1435,"def total_canoes_built(initial_canoes, months):
    """"""
    Calculates the total number of canoes built given the initial number of canoes and the number of months.
    
    Args:
    initial_canoes (int): The number of canoes built in the first month.
    months (int): The number of months since the first month.
    
    Returns:
    int: The total number of canoes built.
    """"""
    total_canoes = initial_canoes
    canoes_built_this_month = initial_canoes

    for _ in range(months - 1):
        canoes_built_this_month *= 2
        total_canoes += canoes_built_this_month

    return total_canoes","# Define the initial number of canoes and the number of months
# pass parameter to call the tool to solve the original problem
print(total_canoes_built(initial_canoes=7, months=5))","def total_production(initial_production, periods, growth_factor):
    """"""
    Calculate the total production of items given an initial production amount, a growth factor, and a specified number of periods.

    Parameters:
    initial_production (int): The initial production amount in the first period.
    periods (int): The number of periods since the first period.
    growth_factor (int): The growth factor for each subsequent period.

    Returns:
    int: The total production of items.
    """"""
    total_items = initial_production
    items_produced_this_period = initial_production

    for _ in range(periods - 1):
        items_produced_this_period *= growth_factor
        total_items += items_produced_this_period

    return total_items","print(total_production(initial_production=7, periods=5, growth_factor=2))"
"If a school bus leaves school with 48 students on board, and one-half of the students get off the bus at each of the first three stops, how many students remain on the bus after the third stop?",6,Level 1,1500,"def remaining_students(initial_students, stops):
    """"""
    Calculates the number of students remaining on the bus after a given number of stops.
    
    Args:
    initial_students (int): The initial number of students on the bus.
    stops (int): The number of stops the bus makes.
    
    Returns:
    int: The number of students remaining on the bus after the given number of stops.
    """"""
    remaining_students = initial_students

    for _ in range(stops):
        remaining_students /= 2

    return int(remaining_students)","# Define the initial number of students and the number of stops
# pass parameter to call the tool to solve the original problem
print(remaining_students(initial_students=48, stops=3))","def remaining_items_after_events(initial_items, events, reduction_factor):
    """"""
    Calculate the number of remaining items after a series of events with a constant reduction factor.

    Parameters:
    initial_items (int): The initial number of items.
    events (int): The number of events with a constant reduction factor.
    reduction_factor (float): The constant reduction factor applied at each event.

    Returns:
    int: The number of remaining items after the specified number of events.
    """"""
    remaining_items = initial_items

    for _ in range(events):
        remaining_items *= reduction_factor

    return int(remaining_items)","print(remaining_items_after_events(initial_items=48, events=3, reduction_factor=0.5))"
"A chess team has $26$ members. However, only $16$ members attended the last meeting: half of the girls attended but all of the boys attended. How many boys are on the chess team?",6,Level 1,573,"def find_number_of_boys(total_members, total_attendees, girls_attendance_rate):
    """"""
    Finds the number of boys in a team based on the total number of members, the number of attendees, and the attendance rate of girls.
    
    Args:
    total_members (int): The total number of members in the team.
    total_attendees (int): The number of members who attended the last meeting.
    girls_attendance_rate (float): The attendance rate of girls (between 0 and 1).
    
    Returns:
    int: The number of boys in the team.
    """"""
    # Define the symbols
    boys, girls = symbols('boys girls')

    # Define the equations based on the problem
    total_members_equation = Eq(boys + girls, total_members)
    total_attendees_equation = Eq(boys + girls_attendance_rate * girls, total_attendees)

    # Solve the system of equations
    solution = solve((total_members_equation, total_attendees_equation), (boys, girls))

    return solution[boys]","# Define the total number of members, the number of attendees, and the attendance rate of girls
# pass parameter to call the tool to solve the original problem
print(find_number_of_boys(total_members=26, total_attendees=16, girls_attendance_rate=0.5))","def find_group_size(total_members, total_attendees, attendance_rate_group2):
    """"""
    Find the size of a group in a team based on the total number of members, the number of attendees, and the attendance rate of the second group.

    Parameters:
    total_members (int): The total number of members in the team.
    total_attendees (int): The number of members who attended the last meeting.
    attendance_rate_group2 (float): The attendance rate of the second group (between 0 and 1).

    Returns:
    int: The size of the first group in the team.
    """"""
    # Define the symbols
    group1, group2 = symbols('group1 group2')

    # Define the equations based on the problem
    total_members_equation = Eq(group1 + group2, total_members)
    total_attendees_equation = Eq(group1 + attendance_rate_group2 * group2, total_attendees)

    # Solve the system of equations
    solution = solve((total_members_equation, total_attendees_equation), (group1, group2))

    return solution[group1]","print(find_group_size(total_members=26, total_attendees=16, attendance_rate_group2=0.5))"
"You have a whole pizza in the refrigerator. On your first trip to the refrigerator, you eat half the pizza. On each successive trip, you eat half of the remaining pizza. After five trips to the refrigerator, what fractional part of the pizza have you eaten?",\frac{31}{32},Level 3,128,"def calculate_fraction_eaten(trips):
    """"""
    Calculates the fractional part of the pizza eaten after a certain number of trips to the refrigerator.
    
    Args:
    trips (int): The number of trips to the refrigerator.
    
    Returns:
    float: The fractional part of the pizza eaten.
    """"""
    remaining_fraction = 1

    for _ in range(trips):
        remaining_fraction *= 0.5

    return 1 - remaining_fraction","# Define the number of trips to the refrigerator
trips = 5

# pass parameter to call the tool to solve the original problem
print(calculate_fraction_eaten(trips))","def calculate_fraction_consumed(iterations, initial_fraction):
    """"""
    Calculate the fractional part of an object consumed after a certain number of iterations, 
    where each iteration consumes half of the remaining part.

    Parameters:
    iterations (int): The number of iterations.
    initial_fraction (float): The initial fraction of the object.

    Returns:
    float: The fractional part of the object consumed.
    """"""
    remaining_fraction = initial_fraction

    for _ in range(iterations):
        remaining_fraction *= 0.5

    return initial_fraction - remaining_fraction","print(calculate_fraction_consumed(iterations=5, initial_fraction=1))"
"Joe is studying a bacteria population.  There are 20 bacteria present at 3:00 p.m. and the population doubles every 3 minutes.  Assuming none of the bacteria die, how many bacteria are present at 3:15 p.m. the same day?",640,Level 2,249,"def calculate_bacteria_population(initial_population, doubling_time, total_time):
    """"""
    Calculates the final population of bacteria based on the initial population, the time it takes for the population to double, and the total time elapsed.
    
    Args:
    initial_population (int): The initial population of bacteria.
    doubling_time (int): The time in minutes it takes for the population to double.
    total_time (int): The total time in minutes that has elapsed.
    
    Returns:
    int: The final population of bacteria.
    """"""
    # Calculate the number of doubling periods that have elapsed
    doubling_periods = total_time / doubling_time

    # Calculate the final population
    final_population = initial_population * (2 ** doubling_periods)

    return final_population","# Define the initial population, doubling time, and total time
# pass parameter to call the tool to solve the original problem
print(calculate_bacteria_population(initial_population=20, doubling_time=3, total_time=15))","def calculate_final_population(initial_population, doubling_time, total_time):
    """"""
    Calculate the final population of a growing entity based on the initial population, the time it takes for the population to double, and the total time elapsed.

    Parameters:
    initial_population (int): The initial population of the entity.
    doubling_time (int): The time in minutes it takes for the population to double.
    total_time (int): The total time in minutes that has elapsed.

    Returns:
    int: The final population of the entity.
    """"""
    # Calculate the number of doubling periods that have elapsed
    doubling_periods = total_time / doubling_time

    # Calculate the final population
    final_population = initial_population * (2 ** doubling_periods)

    return final_population","print(calculate_final_population(initial_population=20, doubling_time=3, total_time=15))"
